person_name,org_name,title,twitter_handle,linkedin_url,outreach_status,outreach_channel
"Christian Garrett","137 Ventures","","","",pending,manual
"Aaron Holiday","645 Ventures","","","",pending,manual
"Anamitra Banerji","Afore Capital","","","",pending,manual
"Adam Gries","Authentic","","","",pending,manual
"Fernando Galano","BDev Ventures","","","",pending,manual
"Sergio Paluch","Beta Boom","","","",pending,manual
"Ben Ling","Bling Capital","","","",pending,manual
"Todd Garland","BuySellAds","","","",pending,manual
"Alex Tomsovic","Cacti","","","",pending,manual
"Ariana Thacker","Conscience","","","",pending,manual
"Aileen Lee","Cowboy Ventures","","","",pending,manual
"Allen Gannett","Creative Curve","","","",pending,manual
"Ashley Gautreaux","CreativeCo","","","",pending,manual
"Alex Bass","Efficient VC","","","",pending,manual
"Bruce Hamilton","Everybody Ventures","","","",pending,manual
"Astasia Myers","Felicis Ventures","","","",pending,manual
"Ren Riley","Fin Capital","","","",pending,manual
"Matias Barbero","FJ Labs","","","",pending,manual
"Ann Miura-Ko","Floodgate","","","",pending,manual
"Steph Jones","Forum Ventures","","","",pending,manual
"Ravindra Gupta","GIT1K","","","",pending,manual
"Sumit Malhotra","GIT1K","","","",pending,manual
"Doug Scott","Golden Section Ventures","","","",pending,manual
"Drew Leahy","Hawke Ventures","","","",pending,manual
"Blaine Vess","Immeasurable","","","",pending,manual
"Joseph Sartre","Interlace Ventures","","","",pending,manual
"Andrew Gluck","irrvrntVC","","","",pending,manual
"Brian Ma","Iterative VC","","","",pending,manual
"Tamar Yehoshua","IVP","","","",pending,manual
"Brian Dixon","Kapor Capital","","","",pending,manual
"Adam Besvinick","Looking Glass Capital","","","",pending,manual
"Kojo Osei","Matrix","","","",pending,manual
"Alex Zhuravlev","Mento VC","","","",pending,manual
"Katie Stanton","Moxxie Ventures","","","",pending,manual
"Zaharo Tsekouras","New Age Ventures","","","",pending,manual
"Ben Mathews","Night Ventures","","","",pending,manual
"Mikita Mikado","PandaDoc","","","",pending,manual
"Réza Malekzadeh","Partech Ventures","","","",pending,manual
"Anand Iyer","Pear","","","",pending,manual
"Plug & Play","Plug & Play","","","",pending,manual
"Amitt Mahajan","Presence Capital","","","",pending,manual
"Barak Kaufman","Product","","","",pending,manual
"Andreas Klinger","Remote First Capital","","","",pending,manual
"Paul Swiencicki","Right Side Capital Management","","","",pending,manual
"Alejandra Martinez","Room40 Ventures","","","",pending,manual
"Alex Hartz","SciFi","","","",pending,manual
"Wayne Hu","SignalFire","","","",pending,manual
"Ben Zises","SuperAngel.Fund","","","",pending,manual
"Beth Turner","SV Angel","","","",pending,manual
"Alex Gostomelsky","Switchboard Ventures","","","",pending,manual
"Austin Levitt","TCV","","","",pending,manual
"Becky Yang","The Fund","","","",pending,manual
"Ashish Kakran","Thomvest Ventures","","","",pending,manual
"Abbie Strabala","True Wealth Ventures","","","",pending,manual
"Andrew McLoughlin","Uncork Capital","","","",pending,manual
"Adrian Alfieri","Verbatim","","","",pending,manual
"Anne Dwane","Village Global","","","",pending,manual
