email	org	source_url	verdict	source_kind
media@aal.army	Army Applications Laboratory (AAL)	https://aal.mil/contact/	CONFIRMED	html
usarmy.apg.devcom.mbx.g3-global-enterprise@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
usarmy.apg.devcom.mbx.hq-technology-transfer@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
michael.s.lugo2.civ@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
usarmy.apg.devcom.mbx.inspector-general@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
thomas.a.moyer4.civ@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
usarmy.apg.ccdc-c5isr.mbx.pao@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
jerome.aliotta.civ@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
jennifer.j.ivey-harper.civ@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
kyle.w.bond.civ@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
usarmy.apg.ccdc-dac.mbx.public-affairs@army.mil	DEVCOM	https://ac.devcom.army.mil/contact-us/	CONFIRMED	html
AFRL.PA.Inquiry@us.af.mil	USAF (AFWERX/SpaceWERX)	https://afwerx.com/contact/	CONFIRMED	html
afrl.rgv.SBIRSTTR@us.af.mil	AFWERX / AFVentures / SpaceWERX	https://afwerx.com/get-funded/	CONFIRMED	html
usarmy.redstone.amcom.list.osbp-all@army.mil	U.S. Army - Alabama	https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf	CONFIRMED	html
usarmy.redstone.acc.mbx.acc-sb@army.mil	U.S. Army - Alabama	https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf	CONFIRMED	html
usarmy.jbsa.acc-micc.list.hq-sbs-rucker@army.mil	U.S. Army - Alabama	https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf	CONFIRMED	html
ng.co.coarng.list.uspfo-pc@army.mil	U.S. Army - Alabama	https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf	CONFIRMED	html
usarmy.redstone.smdc.mbx.small-business-office@army.mil	U.S. Army - Alabama	https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf	CONFIRMED	html
ng.ak.akarng.mbx.uspfo-purchasing-contracting@army.mil	U.S. Army - Alaska	https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf	CONFIRMED	html
sb.poa@usace.army.mil	U.S. Army - Alaska	https://api.army.mil/e2/c/downloads/2026/07/23/9827ee0c/army-small-business-offices-by-state.pdf	CONFIRMED	html
