email	source_url	page_title	context
smallbusinesscenterinbox@dcma.mil	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	us/Federal-Small-Business-Offices/ Markdown Content: Agency Website Email Phone number Defense Contract Management Agency | Small Business Programs[http://www.dcma.mil/smallbusiness/](http://www.dcma.mil/smallbusiness/)smallbusinesscenterinbox@dcma.mil 804-416-9305 Defense Information Systems Agency | Office of Small Business Prog
disa.meade.osbp.mbx.disa-small-business-office@mail.mil	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	nterinbox@dcma.mil 804-416-9305 Defense Information Systems Agency | Office of Small Business Programs[http://www.disa.mil/about/our-organization-structure/OSBP](http://www.disa.mil/about/our-organization-structure/OSBP)disa.meade.osbp.mbx.disa-small-business-office@mail.mil 301-225-6003 Defense Logistics Agency | Office of Small Business Programs[http:
greg.davis@dmea.osd.mil	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	ams[http://www.dla.mil/hq/smallBusiness.aspx](http://www.dla.mil/hq/smallBusiness.aspx)703-767-0192 Defense Microelectronics Activity | Office of Small Business Programs[http://www.dmea.osd.mil](http://www.dmea.osd.mil/)greg.davis@dmea.osd.mil 916-231-1555 U.S. Air Force | Office of Small Business Programs[http://www.airf
answerdesk@airforcesmallbiz.org	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	Programs[http://www.dmea.osd.mil](http://www.dmea.osd.mil/)greg.davis@dmea.osd.mil 916-231-1555 U.S. Air Force | Office of Small Business Programs[http://www.airforcesmallbiz.af.mil](http://www.airforcesmallbiz.af.mil/)answerdesk@airforcesmallbiz.org 571-256-8052 U.S. Army | Mission and Installation Contracting Command[http://ww
osd.pentagon.ousd-atl.mbx.osbp-info@mail.mil	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	siness.asp](http://www.micc.army.mil/small-business.asp)http://www.micc.army.mil/contact-sbo.asp U.S. Department of Defense | Office of Small Business Programs[http://business.defense.gov/](https://business.defense.gov/)osd.pentagon.ousd-atl.mbx.osbp-info@mail.mil 571-256-7791 U.S. Department of Defense Education Activity | Small Business Pro
OSBP.info@navy.mil	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	ces/procurement/index.cfm)571-372-1401 U.S. Department of the Navy | Office of Small Business Programs[http://www.secnav.navy.mil/smallbusiness/pages/index.aspx](http://www.secnav.navy.mil/smallbusiness/pages/index.aspx)OSBP.info@navy.mil 202-685-6485 Federal Deposit Insurance Corporation | Division of Administration
asbpolicy@fdic.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	ww.secnav.navy.mil/smallbusiness/pages/index.aspx)OSBP.info@navy.mil 202-685-6485 Federal Deposit Insurance Corporation | Division of Administration[https://www.fdic.gov/buying/goods/](https://www.fdic.gov/buying/goods/)asbpolicy@fdic.gov 1-877-275-3342 General Services Administration | Office of Small Business Utili
smallbusiness@nasa.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	//www.mbda.gov/](https://www.mbda.gov/)http://portal.mbda.gov/contact/a>202-482-1940 National Aeronautics and Space Administration | Office of Small Business Programs[http://www.osbp.nasa.gov/](http://www.osbp.nasa.gov/)smallbusiness@nasa.gov 202-358-2088 National Science Foundation | Office of Small and Disadvantaged Bu
OSDBU@nsf.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	/)smallbusiness@nasa.gov 202-358-2088 National Science Foundation | Office of Small and Disadvantaged Business Utilization[https://www.nsf.gov/about/contracting/osdbu.jsp](https://www.nsf.gov/about/contracting/osdbu.jsp)OSDBU@nsf.gov 703-292-8100 U.S. Nuclear Regulatory Commission | Small Business Program[https:
smallbusiness@nrc.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	dbu.jsp)OSDBU@nsf.gov 703-292-8100 U.S. Nuclear Regulatory Commission | Small Business Program[https://www.nrc.gov/about-nrc/contracting/small-business.html](https://www.nrc.gov/about-nrc/contracting/small-business.html)smallbusiness@nrc.gov 1-800-903-7227 Office of Management and Budget (Executive Office of the Preside
sdphelp@si.edu	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	https://www.whitehouse.gov/omb/)https://www.whitehouse.gov/contact/202-395-7669 Smithsonian Institution | Supplier Diversity Program[https://www.si.edu/OEEMA/SupplierDiversity](https://www.si.edu/OEEMA/SupplierDiversity)sdphelp@si.edu 202-633-6410 Social Security Administration | Office of Small and Disadvantaged
smallbusiness@ssa.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	www.si.edu/OEEMA/SupplierDiversity)sdphelp@si.edu 202-633-6410 Social Security Administration | Office of Small and Disadvantaged Business Utilization[https://www.ssa.gov/agency/osdbu/](https://www.ssa.gov/agency/osdbu/)smallbusiness@ssa.gov/410-965-7467 U.S. Agency for International Development | Office of Small and Di
osdbu@usaid.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	ness@ssa.gov/410-965-7467 U.S. Agency for International Development | Office of Small and Disadvantaged Business Utilization[https://www.usaid.gov/business/small_business/](https://www.usaid.gov/business/small_business/)osdbu@usaid.gov 202-567-4730 U.S. Department of Agriculture | Office of Small and Disadvantaged
OSDBU@doc.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	us/index.php)https://www.dm.usda.gov/smallbus/contacts.htm 202-720-7117 U.S. Department of Commerce | Office of Small and Disadvantaged Business Utilization[http://www.osec.doc.gov/osdbu/](http://www.osec.doc.gov/osdbu/)OSDBU@doc.gov 202-482-1472 U.S. Department of Education | Office of Small and Disadvantaged B
small.business@ed.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	DBU@doc.gov 202-482-1472 U.S. Department of Education | Office of Small and Disadvantaged Business Utilization[https://www2.ed.gov/about/offices/list/ods/osdbu.html](https://www2.ed.gov/about/offices/list/ods/osdbu.html)small.business@ed.gov 202-245-6300 U.S. Department of Energy | Office of Small and Disadvantaged Busi
smallbusiness@hq.doe.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	ist/ods/osdbu.html)small.business@ed.gov 202-245-6300 U.S. Department of Energy | Office of Small and Disadvantaged Business Utilization[www.smallbusiness.energy.gov](https://energy.gov/osdbu/supporting-small-businesses)smallbusiness@hq.doe.gov 202-586-7377 U.S. Department of Health and Human Services | Office of Small and
sbmail@hhs.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	rtment of Health and Human Services | Office of Small and Disadvantaged Business Utilization[https://www.hhs.gov/about/agencies/asfr/ogapa/osbdu/index.html](https://www.hhs.gov/about/agencies/asfr/ogapa/osbdu/index.html)sbmail@hhs.gov 202-690-6396 U.S. Department of Homeland Security | Office of Small and Disadva
DHSOSDBU@hq.dhs.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	r/ogapa/osbdu/index.html)sbmail@hhs.gov 202-690-6396 U.S. Department of Homeland Security | Office of Small and Disadvantaged Business Utilization[https://www.dhs.gov/do-business-dhs](https://www.dhs.gov/do-business-dhs)DHSOSDBU@hq.dhs.gov 202-447-5555 U.S. Department of Housing and Urban Development | Office of Small
Karen.A.NewtonCole@hud.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	ov 202-447-5555 U.S. Department of Housing and Urban Development | Office of Small and Disadvantaged Business Utilization[http://www.hud.gov/smallbusiness](http://www.hud.gov/smallbusiness)Karen A. Newton Cole, Director Karen.A.NewtonCole@hud.gov 202-402-5477 U.S. Department of the Interior | Office of Small and Disadvantage
DOI_OSDBU@iosl.doi.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	aren A. Newton Cole, Director Karen.A.NewtonCole@hud.gov 202-402-5477 U.S. Department of the Interior | Office of Small and Disadvantaged Business Utilization[https://www.doi.gov/pmb/osdbu](https://www.doi.gov/pmb/osdbu)DOI_OSDBU@iosl.doi.gov 202-208-3493 U.S. Department of Justice | Office of Small and Disadvantaged Bus
robert.l.connolly@usdoj.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	i.gov/pmb/osdbu)DOI_OSDBU@iosl.doi.gov 202-208-3493 U.S. Department of Justice | Office of Small and Disadvantaged Business Utilization[https://www.justice.gov/osdbu](https://www.justice.gov/osdbu)Bob Connolly, Director robert.l.connolly@usdoj.gov 202-616-0521 U.S. Department of Labor | Office of Small and Disadvantaged Busin
osdbu@dol.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	202-616-0521 U.S. Department of Labor | Office of Small and Disadvantaged Business Utilization[https://www.dol.gov/oasam/programs/osdbu/regs/procurement.htm](https://www.dol.gov/oasam/programs/osdbu/regs/procurement.htm)osdbu@dol.gov 202-693-7299 U.S. Department of State | Office of Small and Disadvantaged Busin
smallbusiness@state.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	oasam/programs/osdbu/regs/procurement.htm)osdbu@dol.gov 202-693-7299 U.S. Department of State | Office of Small and Disadvantaged Business Utilization[https://www.state.gov/s/dmr/sdbu/](https://www.state.gov/s/dmr/sdbu/)smallbusiness@state.gov 703-875-6822 U.S. Department of Transportation | Office of Small and Disadvanta
devera.redmond@dot.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	ness@state.gov 703-875-6822 U.S. Department of Transportation | Office of Small and Disadvantaged Business Utilization[https://www.transportation.gov/osdbu/](https://www.transportation.gov/osdbu/)DeVera Redmond, Manager devera.redmond@dot.gov 202-366-1930 U.S. Department of Veterans Affairs | Office of Small and Disadvan
osdbu@va.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	tation.gov/osdbu/)DeVera Redmond, Manager devera.redmond@dot.gov 202-366-1930 U.S. Department of Veterans Affairs | Office of Small and Disadvantaged Business Utilization[http://www.va.gov/osdbu](http://www.va.gov/osdbu)osdbu@va.gov 1-866-584-2344 U.S. Office of Personnel Management | Office of Small and Disadv
small.business@opm.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	agement | Office of Small and Disadvantaged Business Utilization[https://www.opm.gov/about-us/doing-business-with-opm/small-business-program/](https://www.opm.gov/about-us/doing-business-with-opm/small-business-program/)small.business@opm.gov 202-606-2083 U.S. Postal Service | Supplier Diversity Supply Management Strateg
business@.usps.gov	https://business.defense.gov/Work-with-us/Federal-Small-Business-Offices/	Federal Small Business Offices	iness-program/)small.business@opm.gov 202-606-2083 U.S. Postal Service | Supplier Diversity Supply Management Strategies[http://about.usps.com/doing-business/welcome.htm](http://about.usps.com/doing-business/welcome.htm)business@.usps.gov 202-268-4101
contracting@sba.gov	https://www.sba.gov/federal-contracting/counseling-help/procurement-center-representative-directory		s subcontractors. They monitor and support compliance with small-business subcontracting plans, along with teaching agencies and primes about these requirements. Need help? Get help with prime contracting at contracting@sba.gov Get help with the subcontracting program at subcontracting@sba.gov
subcontracting@sba.gov	https://www.sba.gov/federal-contracting/counseling-help/procurement-center-representative-directory		ness subcontracting plans, along with teaching agencies and primes about these requirements. Need help? Get help with prime contracting at contracting@sba.gov Get help with the subcontracting program at subcontracting@sba.gov Additional resources Small Business Development Centers (SBDCs) :
