category,org,office_or_role,person_name,email,source_url,notes
APEX Accelerator,APEX Accelerator of Alabama,General Inquiries,,ptac@ua.edu,https://apexal.org/contact-al-ptac/,shared inbox; University of Alabama-hosted
APEX Accelerator,Alabama APEX Accelerator – Alabama State University,General Inquiries,,apexal@ua.edu,https://www.napex.us/location/alabama-apex-accelerator-alabama-state-university/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Alabama; listed POC: Cordero Young (Sub-Recipient/ Sub-Center POC)"
APEX Accelerator,Alaska APEX Accelerator – Anchorage Center HQ,General Inquiries,,info@apexalaska.org,https://www.napex.us/location/alaska-apex-accelerator-anchorage-center-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Alaska; listed POC: Carolyn Pratt (Program Manager/ State Director)"
APEX Accelerator,American Indian Chamber Education Fund APEX Accelerator – Arizona,General Inquiries,,ptacinfo@aicccal.org,https://www.napex.us/location/american-indian-chamber-education-fund-apex-accelerator-arizona/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves AZ, CA, ID, NV, OR, UT, WA (Pacific, Western, Northwest BIA Regions); listed POC: Venessa Gleich (Program Manager/ State Director)"
APEX Accelerator,Arizona APEX Accelerator,General Inquiries,,azapex.admin@domail.maricopa.edu,https://arizonaapex.org/contact,shared inbox; main office
APEX Accelerator,Arizona APEX Accelerator,Program Manager,Lori Haozous,lori.haozous@domail.maricopa.edu,https://arizonaapex.org/contact,named on contact page
APEX Accelerator,Arizona APEX Accelerator,Assistant Program Manager,Nichole Jackson,nichole.jackson@domail.maricopa.edu,https://arizonaapex.org/contact,named on contact page
APEX Accelerator,Arkansas APEX Accelerator,General Inquiries,,apex@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,shared inbox; Univ. of Arkansas Div. of Agriculture
APEX Accelerator,Arkansas APEX Accelerator,Procurement Counselor,Davin Ryles,dryles@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,Arkansas APEX Accelerator,Procurement Counselor,Kenneth Griffin,kgriffin@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,Arkansas APEX Accelerator,Outreach Coordinator,Kim Magee,kmagee@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,Arkansas APEX Accelerator,Procurement Counselor,Kimberly Randle,krandle@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,Arkansas APEX Accelerator,Program Director,Melanie Berman,msberman@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,Arkansas APEX Accelerator,Administrative Specialist III,Rosalind Davis,rrdavis@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,Arkansas APEX Accelerator,Procurement Counselor,Tim Hicks,thicks@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,Arkansas APEX Accelerator,Deputy Program Manager,Tina Hunter,thunter@uada.edu,https://uaex.uada.edu/business-communities/Arkansas-APEX-Accelerator/staff.aspx,named on staff page
APEX Accelerator,California Capital APEX Accelerator,General Inquiries,,apex@cacapital.org,https://www.napex.us/location/california-capital-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Butte, Colusa, El Dorado, Glenn, Lake, Lassen, Modoc, Nevada, Placer, Plumas, Sacramento, Sierra, Sutter, Tehama, Yolo, and Yuba counties; listed POC: Chuck Jehle (Procurement Counselor)"
APEX Accelerator,Colorado APEX Accelerator – Aurora Satellite Office,General Inquiries,,info@coloradoapex.org,https://www.napex.us/location/colorado-apex-accelerator-aurora-satellite-office/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Colorado"
APEX Accelerator,Colorado APEX Accelerators – Fort Collins Office,Office Contact,,j.papile@coloradoapex.org,https://www.napex.us/location/colorado-apex-accelerators-fort-collins-office/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Colorado"
APEX Accelerator,Colorado APEX Accelerators – HQ,Office Contact,,b.taylor@coloradoapex.org,https://www.napex.us/location/colorado-apex-accelerators-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Colorado; listed POC: Donald Metzler (Senior Procurement Counselor)"
APEX Accelerator,Connecticut APEX Accelerator – Bridgeport,General Inquiries,,ptac@ctptac.org,https://www.napex.us/location/connecticut-apex-accelerator-bridgeport/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Connecticut"
APEX Accelerator,Connecticut APEX Accelerator – Groton HQ,General Inquiries,,info@ctapex.org,https://www.napex.us/location/connecticut-apex-accelerator-groton-hq/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Connecticut; listed POC: Andres Calvache (Procurement Counselor)"
APEX Accelerator,Contract Opportunities Center APEX Accelerator,Office Contact,,coc@epcc.edu,https://www.napex.us/location/contract-opportunities-center-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of Texas; listed POC: Keith Gutierrez (Procurement Counselor)"
APEX Accelerator,DC Department of Small and Local Business Development,Office Contact,,DSLBD.APEX@dc.gov,https://www.napex.us/location/dc-department-of-small-and-local-business-development/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves State of District of Columbia; listed POC: Venessa Noel (Senior Procurement Counselor)"
APEX Accelerator,Del Mar College APEX Accelerator,General Inquiries,,APEXAccelerator@delmar.edu,https://www.napex.us/location/del-mar-college-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Aransas, Bee, Calhoun, Duval, Goliad, Jim Wells, Kenedy, Kleberg, Live Oak, McMullen, Nueces, Refugio, San Patricio and Victoria counties; listed POC: Susie Hargress (Program Assistant)"
APEX Accelerator,Delaware APEX Accelerator,General Inquiries,,info@delawareapex.org,https://delawareapex.org,shared inbox; listed in site footer/contact block
APEX Accelerator,East Michigan APEX Accelerator,General Inquiries,,apex@flintandgenesee.org,https://www.napex.us/location/east-michigan-apex-accelerator/,"published on the NAPEX national APEX Accelerator directory page for this office (address obfuscated in page HTML, decoded); serves Genesee, Huron, Lapeer, Sanilac, Shiawassee, St. Clair, and Tuscola counties; listed POC: Jasmine McKenney (Program Manager/ State Director)"
